iter	Passed	Remaining
609	10593	6773
610	10607	6753
611	10620	6733
612	10637	6715
613	10650	6695
614	10663	6675
615	10678	6656
616	10694	6638
617	10709	6620
618	10723	6600
619	10739	6581
620	10754	6563
621	10767	6543
622	10786	6527
623	10805	6510
624	10824	6494
625	10843	6478
626	10860	6460
627	10876	6442
628	10890	6423
629	10902	6403
630	10914	6382
631	10925	6361
632	10938	6341
633	10951	6321
634	10961	6300
635	10972	6279
636	10990	6263
637	11010	6247
638	11030	6231
639	11048	6214
640	11066	6197
641	11083	6180
642	11101	6163
643	11119	6147
644	11138	6130
645	11157	6113
646	11172	6095
647	11189	6078
648	11210	6062
649	11228	6046
650	11245	6028
651	11264	6012
652	11285	5997
653	11303	5979
654	11318	5961
655	11336	5944
656	11351	5926
657	11367	5908
658	11381	5889
659	11398	5872
660	11413	5853
661	11430	5835
662	11447	5818
663	11462	5800
664	11477	5781
665	11495	5764
666	11511	5747
667	11527	5729
668	11546	5712
669	11566	5696
670	11584	5679
671	11601	5662
672	11618	5645
673	11638	5629
674	11656	5612
675	11671	5593
676	11688	5576
677	11706	5559
678	11721	5541
679	11736	5523
680	11754	5506
681	11770	5488
682	11787	5470
683	11802	5452
684	11821	5436
685	11838	5418
686	11851	5399
687	11865	5380
688	11882	5363
689	11899	5346
690	11913	5327
691	11928	5309
692	11945	5291
693	11961	5274
694	11975	5255
695	11990	5237
696	12005	5218
697	12023	5202
698	12040	5184
699	12056	5167
700	12073	5149
701	12090	5132
702	12107	5114
703	12124	5097
704	12144	5081
705	12163	5065
706	12180	5047
707	12195	5029
708	12209	5011
709	12223	4992
710	12238	4974
711	12253	4956
712	12268	4938
713	12282	4920
714	12297	4901
715	12310	4882
716	12323	4863
717	12336	4845
718	12352	4827
719	12366	4809
720	12380	4790
721	12394	4772
722	12411	4755
723	12427	4737
724	12441	4719
725	12463	4703
726	12483	4687
727	12501	4670
728	12518	4653
729	12538	4637
730	12555	4620
731	12576	4604
732	12592	4586
733	12609	4569
734	12628	4553
735	12644	4535
736	12661	4518
737	12679	4501
738	12718	4491
739	12732	4473
740	12746	4455
741	12760	4436
742	12773	4418
743	12790	4401
744	12808	4384
745	12823	4366
746	12841	4349
747	12857	4331
748	12873	4314
749	12887	4295
750	12902	4277
751	12917	4260
752	12932	4242
753	12946	4223
754	12960	4205
755	12973	4187
756	12988	4169
757	13004	4151
758	13022	4135
759	13035	4116
760	13052	4099
761	13069	4082
762	13085	4064
763	13101	4046
764	13116	4029
765	13131	4011
766	13146	3993
767	13160	3975
768	13176	3958
769	13190	3939
770	13203	3921
771	13219	3904
772	13232	3885
773	13247	3868
774	13265	3851
775	13282	3834
776	13299	3816
777	13317	3800
778	13329	3781
779	13345	3764
780	13362	3746
781	13378	3729
782	13395	3712
783	13413	3695
784	13427	3677
785	13442	3659
786	13459	3642
787	13474	3625
788	13489	3607
789	13505	3590
790	13521	3572
791	13535	3554
792	13550	3537
793	13566	3519
794	13581	3502
795	13594	3484
796	13607	3465
797	13621	3447
798	13637	3430
799	13653	3413
800	13667	3395
801	13681	3377
802	13696	3360
803	13711	3342
804	13726	3325
805	13739	3307
806	13752	3289
807	13767	3271
808	13783	3254
809	13802	3237
810	13818	3220
811	13832	3202
812	13850	3185
813	13865	3168
814	13881	3150
815	13898	3134
816	13913	3116
817	13928	3098
818	13942	3081
819	13957	3063
820	13973	3046
821	13991	3029
822	14006	3012
823	14028	2996
824	14048	2980
825	14064	2962
826	14080	2945
827	14095	2928
828	14108	2910
829	14122	2892
830	14138	2875
831	14157	2858
832	14173	2841
833	14187	2823
834	14204	2806
835	14223	2790
836	14237	2772
837	14254	2755
838	14268	2738
839	14284	2720
840	14298	2703
841	14312	2685
842	14327	2668
843	14341	2650
844	14354	2633
845	14368	2615
846	14382	2598
847	14397	2580
848	14411	2563
849	14429	2546
850	14443	2528
851	14457	2511
852	14474	2494
853	14489	2477
854	14503	2459
855	14516	2442
856	14529	2424
857	14544	2407
858	14561	2390
859	14577	2373
860	14591	2355
861	14606	2338
862	14623	2321
863	14641	2304
864	14656	2287
865	14670	2270
866	14685	2252
867	14699	2235
868	14713	2217
869	14725	2200
870	14740	2183
871	14755	2166
872	14769	2148
873	14783	2131
874	14798	2114
875	14812	2096
876	14825	2079
877	14837	2061
878	14852	2044
879	14867	2027
880	14883	2010
881	14898	1993
882	14912	1975
883	14926	1958
884	14938	1941
885	14953	1924
886	14967	1906
887	14981	1889
888	14996	1872
889	15014	1855
890	15032	1838
891	15046	1821
892	15061	1804
893	15077	1787
894	15091	1770
895	15106	1753
896	15118	1736
897	15132	1718
898	15148	1701
899	15162	1684
900	15177	1667
901	15192	1650
902	15208	1633
903	15221	1616
904	15236	1599
905	15250	1582
906	15263	1565
907	15277	1547
908	15291	1530
909	15305	1513
910	15321	1496
911	15337	1479
912	15354	1463
913	15371	1446
914	15388	1429
915	15408	1412
